- 렌더 시간 차이
    - fake X (10000m 상공)
        
        [click P] 높이= 10000.000000
        시간 간격: 1136.9,  렌더링 객체: 634,  렌더링 fake 객체: 1589
        시간 간격: 1131.5,  렌더링 객체: 634,  렌더링 fake 객체: 1592
        시간 간격: 940.3,  렌더링 객체: 630,  렌더링 fake 객체: 1606
        시간 간격: 1098.0,  렌더링 객체: 615,  렌더링 fake 객체: 1603
        시간 간격: 952.4,  렌더링 객체: 600,  렌더링 fake 객체: 1593
        시간 간격: 1085.9,  렌더링 객체: 594,  렌더링 fake 객체: 1602
        시간 간격: 980.6,  렌더링 객체: 592,  렌더링 fake 객체: 1603
        시간 간격: 2582.4,  렌더링 객체: 587,  렌더링 fake 객체: 1585
        시간 간격: 1733.2,  렌더링 객체: 585,  렌더링 fake 객체: 1583
        시간 간격: 1001.2,  렌더링 객체: 585,  렌더링 fake 객체: 1579
        시간 간격: 913.3,  렌더링 객체: 587,  렌더링 fake 객체: 1598
        시간 간격: 977.9,  렌더링 객체: 584,  렌더링 fake 객체: 1594
        시간 간격: 900.2,  렌더링 객체: 579,  렌더링 fake 객체: 1586
        시간 간격: 899.1,  렌더링 객체: 573,  렌더링 fake 객체: 1582
        시간 간격: 917.3,  렌더링 객체: 567,  렌더링 fake 객체: 1580
        시간 간격: 887.3,  렌더링 객체: 568,  렌더링 fake 객체: 1563
        시간 간격: 1079.2,  렌더링 객체: 560,  렌더링 fake 객체: 1555
        시간 간격: 955.0,  렌더링 객체: 559,  렌더링 fake 객체: 1553
        시간 간격: 997.3,  렌더링 객체: 554,  렌더링 fake 객체: 1566
        시간 간격: 924.7,  렌더링 객체: 551,  렌더링 fake 객체: 1558
        시간 간격: 958.6,  렌더링 객체: 550,  렌더링 fake 객체: 1561
        시간 간격: 925.8,  렌더링 객체: 549,  렌더링 fake 객체: 1555
        시간 간격: 1134.4,  렌더링 객체: 546,  렌더링 fake 객체: 1537
        시간 간격: 1030.2,  렌더링 객체: 537,  렌더링 fake 객체: 1530
        시간 간격: 1060.2,  렌더링 객체: 537,  렌더링 fake 객체: 1534
        시간 간격: 877.3,  렌더링 객체: 535,  렌더링 fake 객체: 1530
        시간 간격: 883.8,  렌더링 객체: 535,  렌더링 fake 객체: 1530
        시간 간격: 896.9,  렌더링 객체: 535,  렌더링 fake 객체: 1527
        시간 간격: 898.9,  렌더링 객체: 525,  렌더링 fake 객체: 1516
        시간 간격: 898.1,  렌더링 객체: 518,  렌더링 fake 객체: 1517
        시간 간격: 912.9,  렌더링 객체: 516,  렌더링 fake 객체: 1500
        시간 간격: 878.7,  렌더링 객체: 514,  렌더링 fake 객체: 1497
        시간 간격: 1159.1,  렌더링 객체: 510,  렌더링 fake 객체: 1497
        시간 간격: 1093.8,  렌더링 객체: 508,  렌더링 fake 객체: 1507
        시간 간격: 898.9,  렌더링 객체: 497,  렌더링 fake 객체: 1503
        시간 간격: 816.7,  렌더링 객체: 495,  렌더링 fake 객체: 1494
        시간 간격: 838.3,  렌더링 객체: 494,  렌더링 fake 객체: 1484
        시간 간격: 793.6,  렌더링 객체: 490,  렌더링 fake 객체: 1488
        시간 간격: 818.5,  렌더링 객체: 496,  렌더링 fake 객체: 1487
        시간 간격: 846.3,  렌더링 객체: 488,  렌더링 fake 객체: 1471
        시간 간격: 2737.1,  렌더링 객체: 486,  렌더링 fake 객체: 1468
        시간 간격: 1034.7,  렌더링 객체: 479,  렌더링 fake 객체: 1467
        시간 간격: 1012.0,  렌더링 객체: 479,  렌더링 fake 객체: 1467
        시간 간격: 828.5,  렌더링 객체: 471,  렌더링 fake 객체: 1474
        시간 간격: 817.9,  렌더링 객체: 469,  렌더링 fake 객체: 1469
        시간 간격: 1001.6,  렌더링 객체: 465,  렌더링 fake 객체: 1470
        시간 간격: 983.6,  렌더링 객체: 461,  렌더링 fake 객체: 1469
        시간 간격: 899.0,  렌더링 객체: 456,  렌더링 fake 객체: 1453
        시간 간격: 815.3,  렌더링 객체: 452,  렌더링 fake 객체: 1450
        시간 간격: 1093.9,  렌더링 객체: 450,  렌더링 fake 객체: 1450
        시간 간격: 795.8,  렌더링 객체: 448,  렌더링 fake 객체: 1450
        시간 간격: 774.2,  렌더링 객체: 445,  렌더링 fake 객체: 1458
        시간 간격: 923.2,  렌더링 객체: 442,  렌더링 fake 객체: 1461
        시간 간격: 848.2,  렌더링 객체: 430,  렌더링 fake 객체: 1453
        시간 간격: 941.3,  렌더링 객체: 423,  렌더링 fake 객체: 1450
        시간 간격: 934.3,  렌더링 객체: 424,  렌더링 fake 객체: 1451
        시간 간격: 893.8,  렌더링 객체: 410,  렌더링 fake 객체: 1449
        시간 간격: 1151.4,  렌더링 객체: 405,  렌더링 fake 객체: 1447
        시간 간격: 796.8,  렌더링 객체: 405,  렌더링 fake 객체: 1435
        시간 간격: 766.9,  렌더링 객체: 401,  렌더링 fake 객체: 1432
        시간 간격: 787.3,  렌더링 객체: 394,  렌더링 fake 객체: 1430
        시간 간격: 777.4,  렌더링 객체: 391,  렌더링 fake 객체: 1431
        시간 간격: 874.5,  렌더링 객체: 390,  렌더링 fake 객체: 1431
        시간 간격: 775.4,  렌더링 객체: 389,  렌더링 fake 객체: 1439
        시간 간격: 765.3,  렌더링 객체: 389,  렌더링 fake 객체: 1438
        시간 간격: 779.8,  렌더링 객체: 389,  렌더링 fake 객체: 1441
        시간 간격: 779.0,  렌더링 객체: 386,  렌더링 fake 객체: 1438
        시간 간격: 773.3,  렌더링 객체: 382,  렌더링 fake 객체: 1433
        시간 간격: 775.7,  렌더링 객체: 382,  렌더링 fake 객체: 1433
        시간 간격: 759.2,  렌더링 객체: 382,  렌더링 fake 객체: 1437
        시간 간격: 796.0,  렌더링 객체: 379,  렌더링 fake 객체: 1433
        시간 간격: 835.2,  렌더링 객체: 379,  렌더링 fake 객체: 1433
