- 일반 쿼드트리
    - 좌우 이동 (10000m 상공)
        
        [click P] 높이= 10000.000000
        [CULL] maxLevel=8, 시간=1072.5us, m_minNodePixels=8.0, 방문노드=7162, 절두체판정=5519, 객체검사=4985, 렌더객체=36870, fake노드=4783
        [CULL] maxLevel=8, 시간=1314.9us, m_minNodePixels=8.0, 방문노드=7159, 절두체판정=5519, 객체검사=4985, 렌더객체=36796, fake노드=4780
        [CULL] maxLevel=8, 시간=1091.7us, m_minNodePixels=8.0, 방문노드=7169, 절두체판정=5519, 객체검사=4985, 렌더객체=36804, fake노드=4772
        [CULL] maxLevel=8, 시간=1067.1us, m_minNodePixels=8.0, 방문노드=7171, 절두체판정=5519, 객체검사=4985, 렌더객체=36830, fake노드=4774
        [CULL] maxLevel=8, 시간=1074.7us, m_minNodePixels=8.0, 방문노드=7167, 절두체판정=5519, 객체검사=4985, 렌더객체=36839, fake노드=4770
        [CULL] maxLevel=8, 시간=1077.3us, m_minNodePixels=8.0, 방문노드=7168, 절두체판정=5519, 객체검사=4985, 렌더객체=36800, fake노드=4770
        [CULL] maxLevel=8, 시간=1156.7us, m_minNodePixels=8.0, 방문노드=7180, 절두체판정=5519, 객체검사=4985, 렌더객체=36858, fake노드=4778
        [CULL] maxLevel=8, 시간=1105.4us, m_minNodePixels=8.0, 방문노드=7176, 절두체판정=5519, 객체검사=4985, 렌더객체=36901, fake노드=4776
        [CULL] maxLevel=8, 시간=1304.8us, m_minNodePixels=8.0, 방문노드=7192, 절두체판정=5519, 객체검사=4985, 렌더객체=36943, fake노드=4826
        [CULL] maxLevel=8, 시간=1264.9us, m_minNodePixels=8.0, 방문노드=7163, 절두체판정=5641, 객체검사=5096, 렌더객체=36944, fake노드=4817
        [CULL] maxLevel=8, 시간=1156.6us, m_minNodePixels=8.0, 방문노드=7170, 절두체판정=5641, 객체검사=5096, 렌더객체=36988, fake노드=4822
        [CULL] maxLevel=8, 시간=1127.5us, m_minNodePixels=8.0, 방문노드=7160, 절두체판정=5641, 객체검사=5096, 렌더객체=36982, fake노드=4815
        [CULL] maxLevel=8, 시간=1149.4us, m_minNodePixels=8.0, 방문노드=7168, 절두체판정=5641, 객체검사=5096, 렌더객체=37002, fake노드=4818
        [CULL] maxLevel=8, 시간=1131.0us, m_minNodePixels=8.0, 방문노드=7184, 절두체판정=5641, 객체검사=5096, 렌더객체=37076, fake노드=4829
        [CULL] maxLevel=8, 시간=1259.2us, m_minNodePixels=8.0, 방문노드=7310, 절두체판정=5579, 객체검사=5027, 렌더객체=37169, fake노드=4877
        [CULL] maxLevel=8, 시간=1140.7us, m_minNodePixels=8.0, 방문노드=7317, 절두체판정=5579, 객체검사=5027, 렌더객체=37186, fake노드=4884
        [CULL] maxLevel=8, 시간=1109.6us, m_minNodePixels=8.0, 방문노드=7346, 절두체판정=5579, 객체검사=5027, 렌더객체=37233, fake노드=4893
        [CULL] maxLevel=8, 시간=1151.2us, m_minNodePixels=8.0, 방문노드=7337, 절두체판정=5579, 객체검사=5027, 렌더객체=37214, fake노드=4887
        [CULL] maxLevel=8, 시간=1156.0us, m_minNodePixels=8.0, 방문노드=7360, 절두체판정=5579, 객체검사=5027, 렌더객체=37331, fake노드=4902
        [CULL] maxLevel=8, 시간=1099.2us, m_minNodePixels=8.0, 방문노드=7364, 절두체판정=5579, 객체검사=5027, 렌더객체=37385, fake노드=4942
        [CULL] maxLevel=8, 시간=1171.0us, m_minNodePixels=8.0, 방문노드=7382, 절두체판정=5579, 객체검사=5027, 렌더객체=37433, fake노드=4955
        [CULL] maxLevel=8, 시간=1307.5us, m_minNodePixels=8.0, 방문노드=7354, 절두체판정=5607, 객체검사=5041, 렌더객체=37527, fake노드=4952
        [CULL] maxLevel=8, 시간=1312.5us, m_minNodePixels=8.0, 방문노드=7346, 절두체판정=5607, 객체검사=5041, 렌더객체=37504, fake노드=4948
        [CULL] maxLevel=8, 시간=1127.6us, m_minNodePixels=8.0, 방문노드=7357, 절두체판정=5607, 객체검사=5041, 렌더객체=37576, fake노드=4956
        [CULL] maxLevel=8, 시간=1141.7us, m_minNodePixels=8.0, 방문노드=7455, 절두체판정=5589, 객체검사=5024, 렌더객체=37647, fake노드=4996
        [CULL] maxLevel=8, 시간=1223.6us, m_minNodePixels=8.0, 방문노드=7472, 절두체판정=5589, 객체검사=5024, 렌더객체=37787, fake노드=4984
        [CULL] maxLevel=8, 시간=1186.9us, m_minNodePixels=8.0, 방문노드=7473, 절두체판정=5589, 객체검사=5024, 렌더객체=37818, fake노드=4987
