전체 객체(폴리곤) 472691, 한 객체당 평균 31개 정점

fake 객체 개수: 16353, 한 객체 당 평균 9개 정점

폴리곤 정점 개수: 14842711,  fake 정점 개수: 143968

- 빌드 시간 차이
    
    평균 7만 마이크로 세컨드 → 0.07초 차이
    
    fake 있을 때: 250000마이크로 세크
    
    fale 없을 때: 180000마이크로 세크
    
- 렌더 시간 차이
    - fake X (10000m 상공)
        
        [click P] 높이= 10000.000000
        시간 간격: 886.7,  렌더링 객체: 637,  렌더링 fake 객체: 5120
        시간 간격: 832.7,  렌더링 객체: 633,  렌더링 fake 객체: 5129
        시간 간격: 822.8,  렌더링 객체: 629,  렌더링 fake 객체: 5139
        시간 간격: 1043.3,  렌더링 객체: 629,  렌더링 fake 객체: 5154
        시간 간격: 838.2,  렌더링 객체: 608,  렌더링 fake 객체: 5114
        시간 간격: 788.6,  렌더링 객체: 600,  렌더링 fake 객체: 5106
        시간 간격: 762.4,  렌더링 객체: 598,  렌더링 fake 객체: 5115
        시간 간격: 784.3,  렌더링 객체: 589,  렌더링 fake 객체: 5128
        시간 간격: 963.9,  렌더링 객체: 587,  렌더링 fake 객체: 5097
        시간 간격: 761.3,  렌더링 객체: 585,  렌더링 fake 객체: 5077
        시간 간격: 774.0,  렌더링 객체: 584,  렌더링 fake 객체: 5069
        시간 간격: 845.4,  렌더링 객체: 586,  렌더링 fake 객체: 5084
        시간 간격: 867.3,  렌더링 객체: 584,  렌더링 fake 객체: 5064
        시간 간격: 739.3,  렌더링 객체: 573,  렌더링 fake 객체: 5031
        시간 간격: 813.7,  렌더링 객체: 568,  렌더링 fake 객체: 5042
        시간 간격: 851.9,  렌더링 객체: 565,  렌더링 fake 객체: 5032
        시간 간격: 724.1,  렌더링 객체: 568,  렌더링 fake 객체: 5014
        시간 간격: 732.6,  렌더링 객체: 559,  렌더링 fake 객체: 4979
        시간 간격: 798.4,  렌더링 객체: 558,  렌더링 fake 객체: 4967
        시간 간격: 1096.4,  렌더링 객체: 554,  렌더링 fake 객체: 4964
        시간 간격: 1015.5,  렌더링 객체: 551,  렌더링 fake 객체: 4956
        시간 간격: 850.0,  렌더링 객체: 550,  렌더링 fake 객체: 4938
        시간 간격: 717.3,  렌더링 객체: 550,  렌더링 fake 객체: 4929
        시간 간격: 744.5,  렌더링 객체: 545,  렌더링 fake 객체: 4931
        시간 간격: 744.8,  렌더링 객체: 546,  렌더링 fake 객체: 4906
        시간 간격: 910.9,  렌더링 객체: 536,  렌더링 fake 객체: 4869
        시간 간격: 720.4,  렌더링 객체: 537,  렌더링 fake 객체: 4875
        시간 간격: 698.6,  렌더링 객체: 536,  렌더링 fake 객체: 4860
        시간 간격: 785.4,  렌더링 객체: 536,  렌더링 fake 객체: 4831
        시간 간격: 940.7,  렌더링 객체: 528,  렌더링 fake 객체: 4799
        시간 간격: 732.7,  렌더링 객체: 520,  렌더링 fake 객체: 4792
        시간 간격: 723.7,  렌더링 객체: 516,  렌더링 fake 객체: 4771
        시간 간격: 757.8,  렌더링 객체: 515,  렌더링 fake 객체: 4766
        시간 간격: 818.2,  렌더링 객체: 512,  렌더링 fake 객체: 4740
        시간 간격: 806.7,  렌더링 객체: 512,  렌더링 fake 객체: 4738
        시간 간격: 802.0,  렌더링 객체: 507,  렌더링 fake 객체: 4745
        시간 간격: 2463.1,  렌더링 객체: 497,  렌더링 fake 객체: 4734
        시간 간격: 756.9,  렌더링 객체: 495,  렌더링 fake 객체: 4702
        시간 간격: 954.4,  렌더링 객체: 494,  렌더링 fake 객체: 4684
        시간 간격: 678.0,  렌더링 객체: 490,  렌더링 fake 객체: 4691
        시간 간격: 712.6,  렌더링 객체: 489,  렌더링 fake 객체: 4666
        시간 간격: 708.0,  렌더링 객체: 488,  렌더링 fake 객체: 4663
        시간 간격: 804.7,  렌더링 객체: 482,  렌더링 fake 객체: 4643
        시간 간격: 782.8,  렌더링 객체: 479,  렌더링 fake 객체: 4641
        시간 간격: 1371.7,  렌더링 객체: 479,  렌더링 fake 객체: 4647
        시간 간격: 667.6,  렌더링 객체: 471,  렌더링 fake 객체: 4620
        시간 간격: 1053.8,  렌더링 객체: 471,  렌더링 fake 객체: 4619
        시간 간격: 801.3,  렌더링 객체: 465,  렌더링 fake 객체: 4611
        시간 간격: 671.7,  렌더링 객체: 461,  렌더링 fake 객체: 4612
        시간 간격: 688.0,  렌더링 객체: 459,  렌더링 fake 객체: 4607
        시간 간격: 684.1,  렌더링 객체: 452,  렌더링 fake 객체: 4576
        시간 간격: 849.3,  렌더링 객체: 452,  렌더링 fake 객체: 4571
        시간 간격: 821.4,  렌더링 객체: 449,  렌더링 fake 객체: 4567
        시간 간격: 1069.1,  렌더링 객체: 445,  렌더링 fake 객체: 4557
        시간 간격: 713.2,  렌더링 객체: 443,  렌더링 fake 객체: 4563
        시간 간격: 928.3,  렌더링 객체: 442,  렌더링 fake 객체: 4538
        시간 간격: 658.7,  렌더링 객체: 431,  렌더링 fake 객체: 4526
        시간 간격: 669.3,  렌더링 객체: 423,  렌더링 fake 객체: 4513
        시간 간격: 647.7,  렌더링 객체: 422,  렌더링 fake 객체: 4513
        시간 간격: 659.9,  렌더링 객체: 410,  렌더링 fake 객체: 4507
        시간 간격: 621.0,  렌더링 객체: 405,  렌더링 fake 객체: 4469
        시간 간격: 638.4,  렌더링 객체: 403,  렌더링 fake 객체: 4469
        시간 간격: 657.9,  렌더링 객체: 401,  렌더링 fake 객체: 4466
        시간 간격: 660.4,  렌더링 객체: 394,  렌더링 fake 객체: 4460
        시간 간격: 844.3,  렌더링 객체: 393,  렌더링 fake 객체: 4462
        시간 간격: 654.1,  렌더링 객체: 390,  렌더링 fake 객체: 4456
        시간 간격: 3937.6,  렌더링 객체: 389,  렌더링 fake 객체: 4452
        시간 간격: 641.6,  렌더링 객체: 389,  렌더링 fake 객체: 4427
        시간 간격: 699.0,  렌더링 객체: 389,  렌더링 fake 객체: 4429
        시간 간격: 737.3,  렌더링 객체: 384,  렌더링 fake 객체: 4410
        시간 간격: 689.8,  렌더링 객체: 382,  렌더링 fake 객체: 4405
        시간 간격: 694.8,  렌더링 객체: 383,  렌더링 fake 객체: 4408
        시간 간격: 796.3,  렌더링 객체: 381,  렌더링 fake 객체: 4399
        시간 간격: 620.5,  렌더링 객체: 379,  렌더링 fake 객체: 4401
        시간 간격: 611.2,  렌더링 객체: 376,  렌더링 fake 객체: 4398
        시간 간격: 652.6,  렌더링 객체: 376,  렌더링 fake 객체: 4377
        시간 간격: 715.8,  렌더링 객체: 376,  렌더링 fake 객체: 4383
        시간 간격: 767.3,  렌더링 객체: 373,  렌더링 fake 객체: 4376
        시간 간격: 637.9,  렌더링 객체: 373,  렌더링 fake 객체: 4374
        시간 간격: 614.5,  렌더링 객체: 372,  렌더링 fake 객체: 4369
        시간 간격: 651.7,  렌더링 객체: 371,  렌더링 fake 객체: 4367
        시간 간격: 825.8,  렌더링 객체: 371,  렌더링 fake 객체: 4366
        시간 간격: 622.5,  렌더링 객체: 369,  렌더링 fake 객체: 4363
        시간 간격: 625.6,  렌더링 객체: 369,  렌더링 fake 객체: 4363
        시간 간격: 660.1,  렌더링 객체: 370,  렌더링 fake 객체: 4361
        시간 간격: 715.6,  렌더링 객체: 369,  렌더링 fake 객체: 4360
        시간 간격: 639.0,  렌더링 객체: 367,  렌더링 fake 객체: 4358
        시간 간격: 719.6,  렌더링 객체: 370,  렌더링 fake 객체: 4361
        시간 간격: 701.6,  렌더링 객체: 370,  렌더링 fake 객체: 4358
        시간 간격: 706.6,  렌더링 객체: 370,  렌더링 fake 객체: 4342
        시간 간격: 661.5,  렌더링 객체: 370,  렌더링 fake 객체: 4343
        시간 간격: 711.7,  렌더링 객체: 370,  렌더링 fake 객체: 4343
        시간 간격: 695.8,  렌더링 객체: 370,  렌더링 fake 객체: 4343
        시간 간격: 612.6,  렌더링 객체: 370,  렌더링 fake 객체: 4345
        시간 간격: 656.5,  렌더링 객체: 370,  렌더링 fake 객체: 4345
        시간 간격: 726.2,  렌더링 객체: 370,  렌더링 fake 객체: 4340
        시간 간격: 629.1,  렌더링 객체: 370,  렌더링 fake 객체: 4340
        시간 간격: 644.9,  렌더링 객체: 370,  렌더링 fake 객체: 4340
        시간 간격: 652.0,  렌더링 객체: 370,  렌더링 fake 객체: 4346
        시간 간격: 777.8,  렌더링 객체: 370,  렌더링 fake 객체: 4345
        시간 간격: 665.0,  렌더링 객체: 370,  렌더링 fake 객체: 4343
        시간 간격: 648.3,  렌더링 객체: 370,  렌더링 fake 객체: 4343
        시간 간격: 672.2,  렌더링 객체: 370,  렌더링 fake 객체: 4343
        시간 간격: 766.4,  렌더링 객체: 370,  렌더링 fake 객체: 4343
        시간 간격: 2596.6,  렌더링 객체: 370,  렌더링 fake 객체: 4339
        시간 간격: 2168.0,  렌더링 객체: 370,  렌더링 fake 객체: 4358
        시간 간격: 843.0,  렌더링 객체: 369,  렌더링 fake 객체: 4357
        시간 간격: 726.0,  렌더링 객체: 367,  렌더링 fake 객체: 4358
        시간 간격: 672.4,  렌더링 객체: 370,  렌더링 fake 객체: 4361
        시간 간격: 646.2,  렌더링 객체: 369,  렌더링 fake 객체: 4358
        시간 간격: 624.0,  렌더링 객체: 369,  렌더링 fake 객체: 4363
        시간 간격: 685.1,  렌더링 객체: 371,  렌더링 fake 객체: 4372
        시간 간격: 679.3,  렌더링 객체: 371,  렌더링 fake 객체: 4367
        시간 간격: 637.5,  렌더링 객체: 371,  렌더링 fake 객체: 4364
        시간 간격: 642.4,  렌더링 객체: 372,  렌더링 fake 객체: 4371
        시간 간격: 933.1,  렌더링 객체: 373,  렌더링 fake 객체: 4374
        시간 간격: 614.1,  렌더링 객체: 374,  렌더링 fake 객체: 4376
        시간 간격: 622.9,  렌더링 객체: 376,  렌더링 fake 객체: 4383
        시간 간격: 640.1,  렌더링 객체: 376,  렌더링 fake 객체: 4394
        시간 간격: 717.1,  렌더링 객체: 379,  렌더링 fake 객체: 4401
        시간 간격: 734.6,  렌더링 객체: 379,  렌더링 fake 객체: 4403
        시간 간격: 634.1,  렌더링 객체: 382,  렌더링 fake 객체: 4408
        시간 간격: 614.9,  렌더링 객체: 382,  렌더링 fake 객체: 4408
        시간 간격: 648.4,  렌더링 객체: 381,  렌더링 fake 객체: 4404
        시간 간격: 820.9,  렌더링 객체: 385,  렌더링 fake 객체: 4414
        시간 간격: 1412.4,  렌더링 객체: 388,  렌더링 fake 객체: 4424
        시간 간격: 628.9,  렌더링 객체: 389,  렌더링 fake 객체: 4423
        시간 간격: 953.1,  렌더링 객체: 389,  렌더링 fake 객체: 4446
        시간 간격: 663.5,  렌더링 객체: 391,  렌더링 fake 객체: 4456
        시간 간격: 634.1,  렌더링 객체: 394,  렌더링 fake 객체: 4463
        시간 간격: 1111.5,  렌더링 객체: 400,  렌더링 fake 객체: 4463
        시간 간격: 642.0,  렌더링 객체: 405,  렌더링 fake 객체: 4473
        시간 간격: 747.3,  렌더링 객체: 405,  렌더링 fake 객체: 4476
        시간 간격: 769.6,  렌더링 객체: 405,  렌더링 fake 객체: 4491
        시간 간격: 660.4,  렌더링 객체: 410,  렌더링 fake 객체: 4504
        시간 간격: 840.7,  렌더링 객체: 418,  렌더링 fake 객체: 4506
        시간 간격: 828.3,  렌더링 객체: 424,  렌더링 fake 객체: 4514
        시간 간격: 790.8,  렌더링 객체: 431,  렌더링 fake 객체: 4523
        시간 간격: 661.5,  렌더링 객체: 442,  렌더링 fake 객체: 4538
        시간 간격: 644.6,  렌더링 객체: 443,  렌더링 fake 객체: 4561
        시간 간격: 895.7,  렌더링 객체: 449,  렌더링 fake 객체: 4573
        시간 간격: 685.3,  렌더링 객체: 450,  렌더링 fake 객체: 4568
        시간 간격: 688.2,  렌더링 객체: 456,  렌더링 fake 객체: 4584
        시간 간격: 784.7,  렌더링 객체: 461,  렌더링 fake 객체: 4612
        시간 간격: 731.6,  렌더링 객체: 464,  렌더링 fake 객체: 4604
        시간 간격: 746.4,  렌더링 객체: 465,  렌더링 fake 객체: 4611
        시간 간격: 1905.2,  렌더링 객체: 471,  렌더링 fake 객체: 4616
        시간 간격: 978.9,  렌더링 객체: 471,  렌더링 fake 객체: 4616
        시간 간격: 688.7,  렌더링 객체: 479,  렌더링 fake 객체: 4641
        시간 간격: 753.0,  렌더링 객체: 486,  렌더링 fake 객체: 4660
        시간 간격: 780.2,  렌더링 객체: 489,  렌더링 fake 객체: 4672
        시간 간격: 684.4,  렌더링 객체: 489,  렌더링 fake 객체: 4679
        시간 간격: 903.5,  렌더링 객체: 490,  렌더링 fake 객체: 4686
        시간 간격: 710.9,  렌더링 객체: 495,  렌더링 fake 객체: 4685
        시간 간격: 682.1,  렌더링 객체: 496,  렌더링 fake 객체: 4711
        시간 간격: 719.6,  렌더링 객체: 497,  렌더링 fake 객체: 4716
        시간 간격: 720.8,  렌더링 객체: 508,  렌더링 fake 객체: 4726
        시간 간격: 724.6,  렌더링 객체: 509,  렌더링 fake 객체: 4734
        시간 간격: 725.8,  렌더링 객체: 514,  렌더링 fake 객체: 4762
        시간 간격: 817.2,  렌더링 객체: 516,  렌더링 fake 객체: 4788
        시간 간격: 872.3,  렌더링 객체: 519,  렌더링 fake 객체: 4807
        시간 간격: 804.9,  렌더링 객체: 523,  렌더링 fake 객체: 4795
        시간 간격: 859.4,  렌더링 객체: 529,  렌더링 fake 객체: 4810
        시간 간격: 2826.4,  렌더링 객체: 536,  렌더링 fake 객체: 4833
        시간 간격: 854.3,  렌더링 객체: 535,  렌더링 fake 객체: 4869
        시간 간격: 712.5,  렌더링 객체: 537,  렌더링 fake 객체: 4875
        시간 간격: 783.1,  렌더링 객체: 545,  렌더링 fake 객체: 4903
        시간 간격: 807.3,  렌더링 객체: 545,  렌더링 fake 객체: 4924
        시간 간격: 859.3,  렌더링 객체: 550,  렌더링 fake 객체: 4944
        시간 간격: 901.6,  렌더링 객체: 551,  렌더링 fake 객체: 4942
        시간 간격: 1145.5,  렌더링 객체: 550,  렌더링 fake 객체: 4948
        시간 간격: 807.3,  렌더링 객체: 553,  렌더링 fake 객체: 4958
        시간 간격: 764.7,  렌더링 객체: 558,  렌더링 fake 객체: 4993
        시간 간격: 1013.1,  렌더링 객체: 560,  렌더링 fake 객체: 4979
        시간 간격: 743.3,  렌더링 객체: 557,  렌더링 fake 객체: 4988
        
    - fake O (10000m 상공)
        
        [click P] 높이= 10000.000000
        시간 간격: 125863.4,  렌더링 객체: 566,  렌더링 fake 객체: 5036
        시간 간격: 76207.8,  렌더링 객체: 584,  렌더링 fake 객체: 5075
