[줌인/줌아웃 비교]
- 레벨 5
    
    [CULL] maxLevel=5, 시간=4684.8us, m_minNodePixels=8.0, 방문노드=182, 절두체판정=67137, 객체검사=67010, 렌더객체=180597, fake노드=0
    [CULL] maxLevel=5, 시간=6170.4us, m_minNodePixels=8.0, 방문노드=194, 절두체판정=61753, 객체검사=61626, 렌더객체=206492, fake노드=0
    [CULL] maxLevel=5, 시간=4348.2us, m_minNodePixels=8.0, 방문노드=242, 절두체판정=51997, 객체검사=51852, 렌더객체=231231, fake노드=0
    [CULL] maxLevel=5, 시간=3877.2us, m_minNodePixels=8.0, 방문노드=271, 절두체판정=42520, 객체검사=42370, 렌더객체=251704, fake노드=0
    [CULL] maxLevel=5, 시간=4203.5us, m_minNodePixels=8.0, 방문노드=308, 절두체판정=40494, 객체검사=40344, 렌더객체=273069, fake노드=0
    [CULL] maxLevel=5, 시간=4158.0us, m_minNodePixels=8.0, 방문노드=308, 절두체판정=40494, 객체검사=40344, 렌더객체=297892, fake노드=0
    [CULL] maxLevel=5, 시간=4230.7us, m_minNodePixels=8.0, 방문노드=400, 절두체판정=47354, 객체검사=47176, 렌더객체=323388, fake노드=0
    [CULL] maxLevel=5, 시간=3674.0us, m_minNodePixels=8.0, 방문노드=443, 절두체판정=45993, 객체검사=45815, 렌더객체=356693, fake노드=0
    [CULL] maxLevel=5, 시간=5788.5us, m_minNodePixels=8.0, 방문노드=469, 절두체판정=50667, 객체검사=50492, 렌더객체=391774, fake노드=0
    [CULL] maxLevel=5, 시간=2939.0us, m_minNodePixels=8.0, 방문노드=528, 절두체판정=28869, 객체검사=28703, 렌더객체=424114, fake노드=0
    [CULL] maxLevel=5, 시간=2167.1us, m_minNodePixels=8.0, 방문노드=569, 절두체판정=14155, 객체검사=14004, 렌더객체=442782, fake노드=0
    [CULL] maxLevel=5, 시간=2027.4us, m_minNodePixels=8.0, 방문노드=605, 절두체판정=11699, 객체검사=11563, 렌더객체=455117, fake노드=0
    [CULL] maxLevel=5, 시간=2793.9us, m_minNodePixels=8.0, 방문노드=623, 절두체판정=5339, 객체검사=5223, 렌더객체=462485, fake노드=0
    [CULL] maxLevel=5, 시간=2362.5us, m_minNodePixels=8.0, 방문노드=629, 절두체판정=2289, 객체검사=2216, 렌더객체=467288, fake노드=0
    [CULL] maxLevel=5, 시간=1517.8us, m_minNodePixels=8.0, 방문노드=642, 절두체판정=2207, 객체검사=2134, 렌더객체=470076, fake노드=0
    [CULL] maxLevel=5, 시간=1438.1us, m_minNodePixels=8.0, 방문노드=659, 절두체판정=840, 객체검사=778, 렌더객체=471988, fake노드=0
    [CULL] maxLevel=5, 시간=1659.1us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=472691, fake노드=0
    [CULL] maxLevel=5, 시간=1321.8us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=472691, fake노드=0
    [CULL] maxLevel=5, 시간=2404.8us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=472691, fake노드=0
    [CULL] maxLevel=5, 시간=1606.5us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=472691, fake노드=0
    [CULL] maxLevel=5, 시간=1655.6us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=472691, fake노드=0
    [CULL] maxLevel=5, 시간=1560.6us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=472691, fake노드=0
    [CULL] maxLevel=5, 시간=1338.8us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=467317, fake노드=16
    [CULL] maxLevel=5, 시간=1261.0us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=438126, fake노드=105
    [CULL] maxLevel=5, 시간=26.8us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=2, fake노드=438
    [CULL] maxLevel=5, 시간=32.7us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=2, fake노드=438
    [CULL] maxLevel=5, 시간=26.7us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=2, fake노드=438
